"sample"	"PC1: 54% variance"	"PC2: 17% variance"
"L1_P25558_106_S35"	-186.960333881666	-26.8970786056329
"L3_P24120_103_S51"	-162.96597247501	-36.0763409988844
"L3_P24120_103_S130"	-161.869974090389	-34.9234058892727
"L2_P24120_104"	-143.645957986536	-93.089423953926
"L1_P25558_101_S30"	-137.193511861824	-154.831504048324
"L2_P24120_106"	-57.2122926987023	166.880561242742
"L1_P25558_103_S32"	-53.8122020296448	164.238630815496
"L2_P24120_102"	-38.5347408163829	129.206977758466
"L1_P25558_104_S33"	221.302679727763	-18.7753003924255
"L1_P25558_102_S31"	230.440518510583	-2.64094033352665
"L2_P24120_101"	236.641314542856	-33.8538144140313
"L2_P24120_105"	253.810473058953	-59.238361180681
