sample	L1_P25558_101_S30	L1_P25558_102_S31	L1_P25558_103_S32	L1_P25558_104_S33	L1_P25558_106_S35	L2_P24120_101	L2_P24120_102	L2_P24120_104	L2_P24120_105	L2_P24120_106	L3_P24120_103_S130	L3_P24120_103_S51
L1_P25558_101_S30	0	453.559036619782	376.877982025522	434.047982586982	261.4030342869	426.72531157828	345.14878395679	193.930183068692	431.388636973377	407.038411161248	262.679218397268	262.800966192699
L1_P25558_102_S31	453.559036619782	0	363.042037403668	165.538633721789	445.095924362151	130.340799107632	370.799557519525	413.827339610702	200.010814189612	420.470294005331	405.26693681215	406.313850453291
L1_P25558_103_S32	376.877982025522	363.042037403668	0	371.941500151176	305.011475389781	382.741637086936	140.843672743397	315.011293416319	416.888658007161	326.511132166195	272.59449864029	273.813014969636
L1_P25558_104_S33	434.047982586982	165.538633721789	371.941500151176	0	427.849292176344	195.248408085963	381.355685779342	413.156696670326	144.722553580825	401.514817620837	402.818762458982	404.100235823229
L1_P25558_106_S35	261.4030342869	445.095924362151	305.011475389781	427.849292176344	0	461.280293606673	326.624645558498	212.754866279174	467.791028309007	326.281565690054	159.982439544005	159.688748069039
L2_P24120_101	426.72531157828	130.340799107632	382.741637086936	195.248408085963	461.280293606673	0	356.503749634697	398.306251798982	163.841617871678	430.665846990322	423.054244163511	424.016258165717
L2_P24120_102	345.14878395679	370.799557519525	140.843672743397	381.355685779342	326.624645558498	356.503749634697	0	285.056303154974	388.735626662762	342.004100690493	303.237608763376	304.312108294173
L2_P24120_104	193.930183068692	413.827339610702	315.011293416319	413.156696670326	212.754866279174	398.306251798982	285.056303154974	0	418.570451485905	365.793500244601	154.982740498567	154.588480212632
L2_P24120_105	431.388636973377	200.010814189612	416.888658007161	144.722553580825	467.791028309007	163.841617871678	388.735626662762	418.570451485905	0	437.079393829095	446.104073914026	447.238726503681
L2_P24120_106	407.038411161248	420.470294005331	326.511132166195	401.514817620837	326.281565690054	430.665846990322	342.004100690493	365.793500244601	437.079393829095	0	335.584601712221	337.094317277173
L3_P24120_103_S130	262.679218397268	405.26693681215	272.59449864029	402.818762458982	159.982439544005	423.054244163511	303.237608763376	154.982740498567	446.104073914026	335.584601712221	0	34.2314606871487
L3_P24120_103_S51	262.800966192699	406.313850453291	273.813014969636	404.100235823229	159.688748069039	424.016258165717	304.312108294173	154.588480212632	447.238726503681	337.094317277173	34.2314606871487	0
