gene_id	gene_name	L1_P25558_101_S30	L1_P25558_102_S31	L1_P25558_103_S32	L1_P25558_104_S33	L1_P25558_106_S35	L2_P24120_101	L2_P24120_102	L2_P24120_104	L2_P24120_105	L2_P24120_106	L3_P24120_103_S130	L3_P24120_103_S51
gene-A1BG	A1BG	35	7	212	51	21	3	895	3	75	0	2	3
gene-A1CF	A1CF	9427.483	0	2891.066	0	5428.003	0	2270.619	6825.184	0	0	2956.462	7563.463
gene-A2ML1	A2ML1	22	0	15	0	7	8	107	4	2	0	8	8
gene-A3GALT2	A3GALT2	59	7	25	2	304	0	45	839	8	0	301	767
gene-A4GALT	A4GALT	1249	114	547	104	671	113	1621	1257	181	0	223	611
gene-A4GNT	A4GNT	0	21	38	3	1	40	152	23	5	0	6	24
gene-AAAS	AAAS	1885.439	337	786.661	519	508	595.999	2597.203	2861.567	813.872	0	578	1552.978
gene-AACS	AACS	1149	140	413	153	2117	72	1190.971	6898.984	206	0	1580	4089
gene-AADAC	AADAC	5378.048	1	1	0	9107	0	14	5504.593	0	0	5629.93	14918.398
gene-AADACL2	AADACL2	0	0	2	1	7	2	1	0	1	0	0	0
gene-AADAT	AADAT	271	5506.956	6000.001	3300.511	102	4644.961	9353.267	1143.251	3043.42	0	351	1021.002
gene-AAED1	AAED1	436	461	434	265	159	353	618.507	919.655	286	0	287	819
gene-AAGAB	AAGAB	9531.433	5368.217	4777	5287.989	3341	4187.937	8620.35	10349.993	5656.133	0	2876.315	7760.61
gene-AAK1	AAK1	4460.088	10033.015	10818.029	3652.319	4731	5908.052	18089.107	7107.429	3099.355	0	3289.961	8942.135
gene-AAMDC	AAMDC	1328.027	1180	464	1298.43	189	2075.825	1601.514	811.776	2284.073	0	101	261
gene-AAMP	AAMP	6015.464	10406.09	5543.731	3788.004	1833	12790.8	14794.179	8990.375	5618.013	0	1946	5368.651
gene-AANAT	AANAT	0	1	0	0	0	0	0	1	0	0	0	0
gene-AAR2	AAR2	4107.417	1951.251	1899.605	934.999	1502	2534.054	6697.105	4574.242	1347.002	0	964	2681.013
gene-AARS	AARS	9764.005	11821.27	7566.079	6218.676	4887.001	13136.832	25172.103	25545.805	9832.705	0	4500.002	12386.276
gene-AARS2	AARS2	320	1350.095	782	1285.72	560	1193	2372	1927.256	1957.929	0	369	1001
gene-AASDH	AASDH	430	4318.133	2383.999	1713.843	766	2197.001	2990.859	1785.063	1322.006	0	966.555	2624.432
gene-AASDHPPT	AASDHPPT	2346.372	7536.642	6508.444	3283.998	1160.04	5758.148	9335.75	6782.362	2466.466	0	2554.972	7313.395
gene-AASS	AASS	185	24552.096	14548.606	26921.172	341	12698.441	14369.375	426	21063.563	0	338	844.044
gene-AATF	AATF	2461.524	1953.106	2899	1216.993	739	2249.578	6221.376	4741.276	1372.865	0	1058	3146.025
gene-AATK	AATK	24	4	8	3	660	0	7	482	4	0	196	573
gene-ABAT	ABAT	38085.865	1078	36818.555	666.001	21024	887.158	78127.2	41127.415	1091	0	9375.146	25515.324
gene-ABCA1	ABCA1	1472.019	7939.845	15756.243	5308.074	3683.001	4502.614	9397.127	1218.046	2186.831	0	1141	3051.811
gene-ABCA12	ABCA12	43	0	1	10	3	0	0	0	0	0	0	0
gene-ABCA13	ABCA13	0	17	17	60	2	13	12	20	40	0	32	74
gene-ABCA2	ABCA2	0	120	40	26	74	12	89	37	32	0	14	33
gene-ABCA3	ABCA3	6130.118	2642	4886	1530	7088	2020.028	12443.378	14561.476	1851.143	0	3488.389	9348.962
gene-ABCA4	ABCA4	38	31	1189	55	7	59	3632.547	33	119	0	8	19
gene-ABCA5	ABCA5	38	3723.778	7136.936	2195.415	737	876.007	3262.228	172	334	0	332	907.966
gene-ABCA6	ABCA6	605.019	3983.925	2770.439	6636.858	713.869	2501.158	4205.581	648.737	2799.552	0	476.257	1243.981
gene-ABCA7	ABCA7	414	15	79	53	537	23	402.06	573.13	105	0	118	265
gene-ABCA9	ABCA9	538.924	3504.856	997.409	10313.054	1338.784	2316.014	587.628	577.567	3979.368	0	429.136	1208.819
gene-ABCB1	ABCB1	70692.013	765.49	12758.72	1569.793	53163.979	823.019	17830.573	47621.155	1272.006	0	17879.47	48102.588
gene-ABCB10	ABCB10	836.046	6905.106	2027.432	3911.031	1552	2816.581	3387.633	3460.341	3317.5	0	1319	3700.11
gene-ABCB11	ABCB11	4	87	46	0	0	27	6	30.003	2	0	24	54
gene-ABCB5	ABCB5	0	0	0	0	0	0	1	0	0	0	0	0
gene-ABCB6	ABCB6	16663.308	4541	5297	1997.991	3851	6552.469	13793.036	14756.52	3224.271	0	2632.851	7357.101
gene-ABCB7	ABCB7	9166.921	7359.283	3432.248	16062.365	3201	4497.31	5146.63	8068.39	15058.062	0	2874.458	7814.04
gene-ABCB8	ABCB8	1403.893	3538.112	654.705	1616.577	2099.911	2184.986	3150.658	5504.119	6775.347	0	725.19	1999.68
gene-ABCB9	ABCB9	497.004	119	181	395	534	121	715.615	1177.243	601.024	0	218	583
gene-ABCC1	ABCC1	1202.091	4936.006	678.92	1720.885	1733.746	3038.723	2131.667	2985.28	2150.545	0	838.59	2108.403
gene-ABCC10	ABCC10	1496	970	713	583	1973	1120.234	3364.135	6133.974	1316.076	0	875	2380
gene-ABCC11	ABCC11	0	33	102	7	57	10	145	38	2	0	13	50
gene-ABCC12	ABCC12	0	3	1	2	5	0	3	1	10	0	0	0
gene-ABCC2	ABCC2	15034.229	48	4309.06	35	11914.711	46	4290.125	20654.539	16	0	10195.847	27309.049
gene-ABCC3	ABCC3	824	53	287	93	648	102	978.832	2425.912	79.921	0	411	1148
gene-ABCC4	ABCC4	143	3309.024	15456.093	2536.649	1603	536.797	8129.377	1358.684	1559.582	0	1530.502	4372.632
gene-ABCC5	ABCC5	5549.217	3712.061	2637.011	3006.276	4526	3248.023	9032.103	24017.644	5429.623	0	6435.01	17598.679
gene-ABCC6	ABCC6	21.958	23.996	38.08	59.218	78.254	8.602	37.334	21.694	19.542	0	11.41	39.597
gene-ABCC8	ABCC8	37.273	141.733	44	21	51	161.547	266.999	121	35	0	19	49
gene-ABCC9	ABCC9	555	19402.288	2513	14769.673	956.001	10344.822	1903.082	912.409	8389.037	0	597.042	1496.001
gene-ABCD1	ABCD1	36654.293	2065	753	681.032	18351	2897.97	3513.055	30440.473	2000.75	0	3622.987	9681.988
gene-ABCD2	ABCD2	39	2981.999	113	4549.183	114	959	39	60	1993.081	0	65	171.276
gene-ABCD3	ABCD3	21080.496	17631.978	16802.039	12179.942	10116.963	10916.421	22787.097	15292.499	9845.278	0	7208.397	19453.725
gene-ABCD4	ABCD4	6173.536	452	1371	559.005	2291	642.075	3452.398	5432.083	832.008	0	1073	2892.298
gene-ABCE1	ABCE1	3086.035	14815.174	10681.984	7898.584	3020	8948.624	11501.088	12947.273	4548.533	0	6071.305	17012.755
gene-ABCF1	ABCF1	14158.831	5228.243	3363	4127.042	3908	9864.613	17990.413	17248.79	11558.237	0	1744	4613.098
gene-ABCF2	ABCF2	2177	8624.287	3187.715	4446.303	1102	9864.366	9142.721	6014.211	7231.531	0	1281.461	3429.104
gene-ABCF3	ABCF3	5224.198	2918.997	4703.76	3421.353	2704	3168	9574.315	8227.369	4387.809	0	2299.853	6452.741
gene-ABCG1	ABCG1	356.028	324.142	551	216	306	337	1693	240	307.892	0	66.001	185
gene-ABCG4	ABCG4	22	3	13	6	12	9	62	21	42	0	3	9
gene-ABCG5	ABCG5	2266.668	16.973	55.035	8.508	3308.669	14.987	79.473	6397.829	16.978	0	2370.653	6535.556
gene-ABCG8	ABCG8	5560.213	4	12	0	3846	3	13	5457.635	0	0	918	2418.396
gene-ABHD1	ABHD1	10446.515	6143.989	1270	1804.648	2027	10190.954	3982.697	2978.867	3521.147	0	526	1461.924
gene-ABHD10	ABHD10	1699.141	1670.001	1226	1892.473	390	1728.046	1997.074	1802.187	1949.299	0	583	1486
gene-ABHD11	ABHD11	7621.59	1085.002	1657	3430.684	1285	1634.088	4942.977	4020.58	5281.671	0	721	1975
gene-ABHD12	ABHD12	21766.778	3453	5217	1234	4667	5066.917	14618.866	12555.879	1326.082	1	2508.426	6606.317
gene-ABHD12B	ABHD12B	113	1	43	4	117	0	60	494.501	0	0	168	468.814
gene-ABHD13	ABHD13	2156.713	2546.405	2817	1454.905	1758	1149.001	2344.632	2708.899	837.33	3	1667	4340.466
gene-ABHD14A	ABHD14A	225.999	45.999	316	88	64	58	914	250.194	162	0	43	99
gene-ABHD14B	ABHD14B	17614.446	94	3980.081	155	3376	285	21129.814	16378.015	419.012	0	1494	4150
gene-ABHD15	ABHD15	94	614	205	13	41	757	430.148	134	21	0	24	73
gene-ABHD16B	ABHD16B	8	95	158	34	91	18	150	32	20	0	28	70
gene-ABHD17A	ABHD17A	5407.809	6264.744	3769.927	2088.42	2691.619	8197.715	14453.803	15240.111	4393.261	0	2144.062	5894.593
gene-ABHD17B	ABHD17B	6952.493	2473.016	1627.088	944	2722	1697.008	1523.804	3765.404	574.459	0	1985.352	5194.481
gene-ABHD17C	ABHD17C	268	17	52	30	1340	6	88	572	32	0	143	360
gene-ABHD18	ABHD18	1257.964	3350.974	1739.269	7811.399	1260	1405.973	1315.034	1892.334	5076.577	0	1448.394	3913.145
gene-ABHD2	ABHD2	73622.093	490	4918.894	417	40792.574	914	23687.141	30601.611	536	0	7120.502	18701.385
gene-ABHD3	ABHD3	45585.583	584	10289.932	740	14019	567	15669.993	26000.837	588.001	0	8743.486	23266.477
gene-ABHD4	ABHD4	15943.358	2298	2225	1649.014	4407	5019.062	11032.057	13186.639	5296.115	0	1367.714	3548.324
gene-ABHD5	ABHD5	7966.563	9643.88	7944.997	4554.06	2123	7552.791	12613.409	7654.54	4287.174	0	2643.499	7062.439
gene-ABHD6	ABHD6	3828	2259	570	965.001	4010.001	2495.693	2531.11	9651.148	2105.852	0	1309.002	3534
gene-ABHD8	ABHD8	1370.185	617	267	514	557	724	943	734	842.798	0	102	245
gene-ABI1	ABI1	9824.887	2675.661	4149.951	1494.733	2952.585	3842.957	9013.393	14844.447	1902.416	0	3952.984	10519.305
gene-ABI2	ABI2	1198.008	1101.072	4232.999	1222.01	1658.001	1484.598	7948.211	1660.058	1032.406	0	1057	2855.016
gene-ABI3	ABI3	560	191	39	37	76	142	136	241	54	0	19	84
gene-ABI3BP	ABI3BP	1034.03	213	111	1381.003	757	434.867	92	357.999	2632.823	0	292	771.07
gene-ABL1	ABL1	6131.852	7015.118	3806.534	3788.935	6070	8105.39	17440.116	11509.803	9956.889	0	1769	4764.552
gene-ABL2	ABL2	1918.103	17291.451	11662.203	4836.872	3285.999	5967.26	11328.56	3727.395	3409.114	0	3080.001	8632.049
gene-ABLIM1	ABLIM1	12688.84	10432.565	5893.014	4946.125	8460.039	13426.044	21460.218	19333.291	11104.348	0	4181.109	11119.313
gene-ABLIM2	ABLIM2	45	3025	104	1111.119	62	2193	310	109	2488.63	0	14	41
gene-ABLIM3	ABLIM3	1099.001	3195.093	3099	4188.822	341	8622.346	7533.957	573	7599.922	0	117	355
gene-ABO	ABO	2346.731	12.574	156.37	10	3177.188	7.334	618.171	3196.277	10.818	0	510.126	1378.772
gene-ABR	ABR	5729.096	1755.064	6123.997	1945.001	7039	2635.36	15288.428	19643.915	2943.283	0	4642	12919.868
gene-ABRA	ABRA	121	15259.522	246	9689.663	108	7314.277	266	58	9271.283	0	88	235
gene-ABRACL	ABRACL	2020.726	46	388	136.999	374	65	677.033	3123.115	142.002	0	681.063	1925
gene-ABT1	ABT1	1270.095	1255.029	856	419	675	1436	2425.343	3527.092	895	0	587	1631.133
gene-ABTB1	ABTB1	2504.613	2363	1592.001	952.001	1000.001	3156.126	5286.744	2683.68	1516.033	0	565	1499.001
gene-ABTB2	ABTB2	398	344	375	376	950	222	831.62	1081.115	509.981	0	257	656
gene-ACAA1	ACAA1	59429.738	12609.035	20941.703	3988.574	10376.522	22853.066	67807.628	48235.642	7133.995	0	7967.257	22212.756
gene-ACAA2	ACAA2	30233.992	94840.783	26551.286	37660.774	7309.816	99121.085	63376.338	40938.336	57734.154	2	8087.203	22134.557
gene-ACACA	ACACA	1456.004	18451.614	8154.014	5708.789	3061	8996.287	10310.81	4231.929	3881.996	0	3055.08	8221.307
gene-ACACB	ACACB	10309.952	100941.7	10749.373	18493.886	16278.001	55813.311	27386.461	11996.245	29434.969	0	3254	8744.468
gene-ACAD10	ACAD10	3054.022	1702	5887	694.001	1727	1725.78	14024.634	6772.184	1194.793	0	1604.708	3948.843
gene-ACAD11	ACAD11	5758.392	1946.014	3063.66	3769.017	1936	1226.989	3303.301	4505.156	3811.928	0	1750.571	4682.246
gene-ACAD8	ACAD8	740	8657.461	1724.727	7635.918	382.806	8069.198	5132.745	2098.17	12236.728	0	394.863	1073.164
gene-ACAD9	ACAD9	2430.026	3465.71	3759	5941.275	1927.001	2483.024	5853.078	5845.688	6398.284	0	1992.196	5205.872
gene-ACADL	ACADL	89307.665	85425.668	3947.749	34894.875	23030.747	72271.017	7033.413	16485.444	59809.236	2	4282.001	12097.034
gene-ACADM	ACADM	29735.99	192611.332	12746.036	105336.541	10832.153	158630.784	18600.147	16209.408	121129.135	0	5175	13792.96
gene-ACADS	ACADS	5339.54	25133.259	5585	10402.716	3289	22116.784	17868.036	8492.174	22362.227	3	1344	3747.912
gene-ACADSB	ACADSB	15371.207	40746.606	3697.034	18428.236	4642	48292.396	13196.762	12433.227	39185.101	0	1962	5018.001
gene-ACADVL	ACADVL	72989.306	451497.162	36323.831	191476.042	20984	556976.244	106297.913	90807.151	309499.427	5	16295.872	43902.396
gene-ACAN	ACAN	0	8	19	0	0	0	6	0	4	0	0	0
gene-ACAP1	ACAP1	1276	187	84	246.107	540	230	433.045	768.276	351	0	136	380
gene-ACAP2	ACAP2	1539.049	3548.037	4570.336	3130.528	4065	733.079	1620.665	2363.435	614.18	0	3531.969	9572.21
gene-ACAP3	ACAP3	208	612	360	365	344	638.186	1455	1880.241	606	0	277	728
gene-ACAT1	ACAT1	19171.21	78538.935	18187.494	89346.739	3511	79006.768	37218.168	21228.736	97992.722	0	5214.547	13871.684
gene-ACAT2	ACAT2	1209	311.059	649	341	305	487.001	1474.985	1907.612	400	0	434.44	1068.09
gene-ACBD3	ACBD3	7044.901	5751.725	4207.772	1868.017	1968	6015	11107.138	9553.701	2342.824	0	2200.026	5818.956
gene-ACBD4	ACBD4	12752.768	650	882	561	3373	1091.889	3607.994	11346.716	1034.603	0	1478	4074.072
gene-ACBD5	ACBD5	1050.331	10287.984	7442.599	5189.284	1512.001	4202.953	8128.417	4081.427	4124.651	0	2290.001	6106.986
gene-ACBD6	ACBD6	3592.694	2509.249	2154.5	1475.66	508	3576.874	4462.582	4601.991	1612.386	0	1143	2970.347
gene-ACBD7	ACBD7	0	0	3	0	0	0	9	9	0	0	0	0
gene-ACD	ACD	283	345.001	279	217	181	454	1087.198	692.055	320.026	0	91	236.002
gene-ACE	ACE	1874.072	487.108	78	264	1909	1894.829	946.014	2517.155	1078.007	0	291	804
gene-ACE2	ACE2	615959.629	105	4512.173	63	245321.453	150	7455.822	477394.522	64	0	152387.474	413677.522
gene-ACER1	ACER1	0	1	3	0	0	0	9	1	0	0	0	0
gene-ACER2	ACER2	12656.283	10557.001	19219.799	3702.548	6061	15558.549	41993.395	9331.693	5031.714	0	2827	7642
gene-ACER3	ACER3	6989.917	2189.764	1710.195	2313	4217	972.004	1757.663	4783.564	1334.299	0	2438.241	6431.733
gene-ACHE	ACHE	489.041	1092	85	4600.437	368	1250	397	330.02	12117.009	0	59	134
gene-ACIN1	ACIN1	10959.326	3449.999	4924.268	3609.891	5555	6280.062	19388.733	15855.947	7049.471	0	3070.983	8357.216
gene-ACKR1	ACKR1	485	185.888	15	329	101.161	398.163	84	217.975	787.276	0	11	47
gene-ACKR2	ACKR2	52	147	88	42	13	181	274	47	43	0	6	32.001
gene-ACKR3	ACKR3	1154.126	2731	4544.885	3991.073	207	5302.73	12621.248	926.12	6152.154	0	164	430
gene-ACKR4	ACKR4	1646.012	163.001	1031	175	850	151	1359.031	2189.968	128.008	0	896	2308
gene-ACLY	ACLY	5313.481	9754.888	13961.989	6478.988	4387	7242.846	27361.17	13972.288	5810.682	0	4898.259	13447.412
gene-ACMSD	ACMSD	6	4	2140.063	11	4	7	2755.511	0	3	0	4	10
gene-ACO2	ACO2	46567.655	170986.206	21745.642	125342.172	20896.634	189733.047	100201.283	76649.027	385353.448	4	9184.572	24602.897
gene-ACOT11	ACOT11	580.083	11461.595	1201	3484.148	10503	6726.168	2090.719	12476.207	6518.79	0	4835	12796.418
gene-ACOT12	ACOT12	0	54	33	9	21	27	29.035	23	12	0	16	39
gene-ACOT13	ACOT13	2865.209	2822.999	1295	5645.691	586	3162	3181.641	2540.544	7475.656	0	524	1363
gene-ACOT7	ACOT7	2986.277	59	188	33	997	77	592	4752.118	60	0	826	2152
gene-ACOT8	ACOT8	4691.817	1161	870	426	1039	961	2630.659	2930.161	630	0	522	1439
gene-ACOT9	ACOT9	5840.642	5547.456	2145	1911.245	1099	6636.71	4662.344	4540.251	2548.443	0	1056.19	3003.687
gene-ACOX1	ACOX1	50221.908	26903.561	24802.939	9545.944	29909.42	15770.419	41730.082	45467.629	11275.444	0	14902.041	40073.131
gene-ACOX2	ACOX2	866	765	1932	2172.04	518	838	5922.884	2785.124	3871.488	0	434	1244
gene-ACOX3	ACOX3	111	355	186	493	316	143	440	386	741	0	84	230
gene-ACP1	ACP1	4496.297	1623.886	1979.567	1454.892	896.001	2102.156	5009.713	4402.914	1583.481	0	837.001	2256.654
gene-ACP2	ACP2	6399.446	730.781	1034.314	926.827	1689.409	771.446	3371.597	4226.821	1580.714	0	811.99	2208.698
gene-ACP5	ACP5	4030.048	124	2631.149	312	1505	120	9458.462	4273.132	403	0	590	1681
gene-ACP6	ACP6	3227.428	1729.061	627.968	1487.239	634.203	2898.972	2477.688	3587.52	2593.979	0	486.86	1473.828
gene-ACPP	ACPP	88	22	204	57	59	22	390	38	30	0	26	77
gene-ACPT	ACPT	0	0	0	0	6	1	1	0	0	0	3	3
gene-ACR	ACR	0	0	1	0	0	1	1	4	1	0	0	0
gene-ACRBP	ACRBP	382.058	9	118	15	121	18	454.064	180	26	0	60	129
gene-ACRC	ACRC	127	85	181	42	65	74	260.065	21	36	0	23	89
gene-ACRV1	ACRV1	0	7	8	0	7	1	2	17	0	0	13	33
gene-ACSBG1	ACSBG1	18	169	47	39	32	133	197	48	46	0	9	24
gene-ACSBG2	ACSBG2	0	0	3	0	0	0	0	0	0	0	0	0
gene-ACSF2	ACSF2	47481.788	1403.783	805	1249	10024.402	1758.017	2458.131	44199.574	1819.938	0	8638.951	23423.819
gene-ACSF3	ACSF3	1808.194	2188	1154	2220	634.378	2875	3454.086	2494.711	3369.04	0	512	1418.256
gene-ACSL1	ACSL1	4146.328	121078.705	42380.47	38679.194	2241	96519.376	122464.606	8322.453	58142.491	0	1586	4247.885
gene-ACSL3	ACSL3	1532.926	2059.999	5236.49	364	682	1990.001	9372.555	6323.672	286	0	1840.268	4868.569
gene-ACSL4	ACSL4	3478.799	34959.075	20258.177	9286.537	3119.001	18530.009	25824.243	6090.73	6174.904	0	3523.914	9661.313
