gene_id	gene_name	L1_P25558_101_S30	L1_P25558_102_S31	L1_P25558_103_S32	L1_P25558_104_S33	L1_P25558_106_S35	L2_P24120_101	L2_P24120_102	L2_P24120_104	L2_P24120_105	L2_P24120_106	L3_P24120_103_S130	L3_P24120_103_S51
gene-A1BG	A1BG	0.407345	0.175427	9.710498	1.611007	0.727819	0.067929	18.338267	0.048156	1.910663	0	0.13621	0.075846
gene-A1CF	A1CF	29.134157	0	36.164785	0	52.798025	0	12.134141	28.763359	0	0	55.453502	52.529132
gene-A2ML1	A2ML1	0.037893	0	0.10506	0	0.038299	0.026268	0.317524	0.009371	0.007375	0	0.084134	0.031139
gene-A3GALT2	A3GALT2	1.341677	0.330962	2.159972	0.119821	19.252534	0	1.842599	26.684501	0.40748	0	38.278168	36.306105
gene-A4GALT	A4GALT	6.710864	1.34623	11.80677	1.542872	11.177728	1.166104	15.132984	9.238078	2.100148	0	7.200781	7.310415
gene-A4GNT	A4GNT	0	0.222142	0.734734	0.039855	0.01495	0.368635	1.267223	0.151019	0.051808	0	0.17365	0.257328
gene-AAAS	AAAS	9.315002	3.654369	15.71319	6.739981	7.84522	5.639206	22.315792	19.405734	8.230428	0	17.254407	17.167285
gene-AACS	AACS	5.532926	1.484427	8.004143	2.037385	31.722178	0.665141	9.953035	45.407703	2.139615	0	45.834761	43.944804
gene-AADAC	AADAC	20.959996	0.008608	0.015734	0	111.117842	0	0.094511	29.286917	0	0	132.70813	130.24094
gene-AADACL2	AADACL2	0	0	0.048709	0.016746	0.131272	0.023375	0.010574	0	0.013142	0	0	0
gene-AADAT	AADAT	1.272352	54.871277	109.262688	41.261082	1.542799	40.317334	73.296811	7.059783	29.616423	0	9.563196	10.301037
gene-AAED1	AAED1	5.811448	13.159217	22.642382	9.542664	6.244581	9.186168	14.565483	16.944372	8.374932	0	22.22774	23.557882
gene-AAGAB	AAGAB	32.794095	40.854159	66.451811	50.503511	36.097104	27.565322	51.32596	48.584426	41.851258	0	59.973934	59.92276
gene-AAK1	AAK1	3.636844	17.786442	35.956641	8.145787	12.582792	8.942413	25.151739	7.813728	5.258092	0	16.404874	16.734269
gene-AAMDC	AAMDC	33.79715	61.921747	44.489581	86.43201	13.192745	105.443068	73.727937	28.971087	130.798802	0	14.221852	13.685974
gene-AAMP	AAMP	30.784624	117.142854	114.067499	53.562502	29.13204	125.654483	131.47687	62.910902	62.053095	0	59.916218	61.243384
gene-AANAT	AANAT	0	0.036799	0	0	0	0	0	0.024192	0	0	0	0
