rna-XM_005852746.1	gene-TOMM6	TOMM6
gene-LOC106725953	gene-LOC106725953	LOC106725953
rna-XM_014546743.1	gene-LOC106727182	LOC106727182
rna-XM_014530031.1	gene-LOC106723629	LOC106723629
rna-XM_005852755.1	gene-BLOC1S4	BLOC1S4
rna-XM_014534463.1	gene-LOC106724971	LOC106724971
rna-XM_005852756.1	gene-LOC102242081	LOC102242081
rna-XM_014535665.1	gene-LOC106725205	LOC106725205
gene-LOC102242378	gene-LOC102242378	LOC102242378
gene-LOC102242675	gene-LOC102242675	LOC102242675
rna-XM_014537378.1	gene-LOC106725584	LOC106725584
gene-LOC106725701	gene-LOC106725701	LOC106725701
rna-XM_014538542.1	gene-LOC106725818	LOC106725818
rna-XM_005852762.1	gene-LOC102244150	LOC102244150
rna-XM_005852764.1	gene-LOC102244749	LOC102244749
rna-XM_005852766.1	gene-LOC102245340	LOC102245340
rna-XR_001362409.1	gene-LOC106726314	LOC106726314
rna-XM_005852767.2	gene-LOC102245643	LOC102245643
rna-XM_014541917.1	gene-LOC106726518	LOC106726518
rna-XM_014542477.1	gene-LOC106726639	LOC106726639
rna-XM_014543067.1	gene-LOC106726769	LOC106726769
rna-XM_014543680.1	gene-LOC106726873	LOC106726873
rna-XM_014544270.1	gene-LOC106727028	LOC106727028
rna-XM_005852768.2	gene-FAM110D	FAM110D
rna-XM_014545360.1	gene-LOC106727270	LOC106727270
rna-XM_014545948.1	gene-LOC106727403	LOC106727403
gene-LOC106727531	gene-LOC106727531	LOC106727531
rna-XR_001363912.1	gene-LOC106727650	LOC106727650
gene-LOC106727734	gene-LOC106727734	LOC106727734
rna-XM_014548143.1	gene-LOC106727856	LOC106727856
rna-XM_014548679.1	gene-LOC106727974	LOC106727974
rna-XM_014549329.1	gene-LOC106728103	LOC106728103
gene-LOC102248965	gene-LOC102248965	LOC102248965
gene-LOC106728341	gene-LOC106728341	LOC106728341
rna-XM_014528440.1	gene-LOC106723686	LOC106723686
rna-XR_001359599.1	gene-LOC106723821	LOC106723821
rna-XM_005852778.1	gene-LOC102249852	LOC102249852
gene-LOC102250148	gene-LOC102250148	LOC102250148
rna-XM_014530658.1	gene-LOC106724162	LOC106724162
rna-XM_005852779.2	gene-LOC102250754	LOC102250754
rna-XM_005852781.2	gene-LOC102251336	LOC102251336
rna-XM_014533025.1	gene-LOC106724653	LOC106724653
rna-XM_005852783.1	gene-MRFAP1	MRFAP1
rna-XR_001360670.1	gene-LOC106724837	LOC106724837
rna-XM_005852784.2	gene-LOC102252225	LOC102252225
rna-XM_005852785.2	gene-LOC102252511	LOC102252511
rna-XM_014533877.1	gene-LOC106724863	LOC106724863
rna-XM_014533933.1	gene-LOC106724877	LOC106724877
rna-XM_014533984.1	gene-LOC106724896	LOC106724896
gene-LOC102253408	gene-LOC102253408	LOC102253408
rna-XR_001360756.1	gene-LOC106724925	LOC106724925
gene-LOC102253715	gene-LOC102253715	LOC102253715
rna-XM_005852789.2	gene-LOC102254023	LOC102254023
gene-LOC102254610	gene-LOC102254610	LOC102254610
gene-LOC102254905	gene-LOC102254905	LOC102254905
gene-LOC102255203	gene-LOC102255203	LOC102255203
rna-XM_005852794.2	gene-LOC102256115	LOC102256115
rna-XM_005852795.2	gene-LOC102256415	LOC102256415
rna-XR_001360864.1	gene-LOC106725017	LOC106725017
rna-XM_014534598.1	gene-LOC106725027	LOC106725027
rna-XM_014534657.1	gene-LOC106725038	LOC106725038
rna-XM_005852796.2	gene-LOC102256716	LOC102256716
rna-XR_312954.2	gene-LOC102257023	LOC102257023
rna-XM_005852797.2	gene-LOC102257224	LOC102257224
rna-XM_005852798.2	gene-LOC102257528	LOC102257528
rna-XM_005852799.2	gene-LOC102257836	LOC102257836
rna-XR_001360967.1	gene-LOC106725085	LOC106725085
rna-XM_005852801.2	gene-LOC102258447	LOC102258447
rna-XM_005852802.2	gene-LOC102259038	LOC102259038
rna-XM_005852803.2	gene-LOC102259324	LOC102259324
rna-XR_001361027.1	gene-LOC106725149	LOC106725149
rna-XM_014535245.1	gene-LOC106725165	LOC106725165
rna-XM_005852806.1	gene-LOC102260226	LOC102260226
gene-LOC102260532	gene-LOC102260532	LOC102260532
rna-XR_001361070.1	gene-LOC106725198	LOC106725198
rna-XM_005852808.2	gene-LOC102261104	LOC102261104
rna-XM_014535534.1	gene-LOC106725214	LOC106725214
rna-XR_312955.2	gene-LOC102261396	LOC102261396
rna-XM_005852810.2	gene-LOC102261904	LOC102261904
rna-XM_014535712.1	gene-LOC106725247	LOC106725247
gene-LOC102262201	gene-LOC102262201	LOC102262201
rna-XM_014535822.1	gene-LOC106725272	LOC106725272
rna-XM_005852811.2	gene-LOC102262512	LOC102262512
rna-XM_005852812.2	gene-LOC102262825	LOC102262825
gene-LOC106725303	gene-LOC106725303	LOC106725303
rna-XR_312956.1	gene-LOC102263132	LOC102263132
gene-LOC102263334	gene-LOC102263334	LOC102263334
rna-XM_005852813.1	gene-LOC102263646	LOC102263646
rna-XM_005852814.2	gene-LOC102263954	LOC102263954
rna-XM_005852815.1	gene-LOC102238595	LOC102238595
rna-XR_001361274.1	gene-LOC106725384	LOC106725384
gene-LOC102238919	gene-LOC102238919	LOC102238919
gene-LOC102239231	gene-LOC102239231	LOC102239231
rna-XR_312957.2	gene-LOC102239527	LOC102239527
rna-XM_005852816.2	gene-LOC102239736	LOC102239736
rna-XM_005852817.2	gene-LOC102240039	LOC102240039
rna-XM_005852818.2	gene-LOC102240348	LOC102240348
rna-XM_005852819.2	gene-LOC102240655	LOC102240655
rna-XM_005852820.2	gene-LOC102240959	LOC102240959
rna-XM_005852821.2	gene-LOC102241261	LOC102241261
gene-LOC102241577	gene-LOC102241577	LOC102241577
rna-XR_001361392.1	gene-LOC106725497	LOC106725497
rna-XR_001361399.1	gene-LOC106725510	LOC106725510
rna-XM_014536974.1	gene-LOC106725524	LOC106725524
rna-XM_014537027.1	gene-LOC106725541	LOC106725541
gene-LOC102241880	gene-LOC102241880	LOC102241880
rna-XM_014537114.1	gene-LOC106725571	LOC106725571
rna-XR_312958.2	gene-LOC102242180	LOC102242180
rna-XR_001361519.1	gene-LOC106725589	LOC106725589
rna-XM_014537278.1	gene-LOC106725600	LOC106725600
rna-XM_005852823.1	gene-LOC102242379	LOC102242379
rna-XM_005852824.1	gene-LOC102242676	LOC102242676
rna-XM_005852825.2	gene-LOC102242984	LOC102242984
rna-XR_001361571.1	gene-LOC106725645	LOC106725645
gene-LOC102243292	gene-LOC102243292	LOC102243292
rna-XR_001361598.1	gene-LOC106725664	LOC106725664
